ID,Intensidad,Est_animo1,Est_animo2,Est_animo3
Participant1,High,66.23264318,81.12548652,NA
Participant2,High,NA,58.04415504,84.0807518
Participant3,High,40.70770666,69.61373725,85.54117214
Participant4,Low,34.52384601,72.65292947,NA
Participant5,High,69.93342664,43.96471055,90.57458557
Participant6,Low,48.25897021,69.96455306,NA
Participant7,High,70.8742493,66.56660628,72.37189058
Participant8,High,52.01877081,59.74561308,86.27769393
Participant9,High,72.23744819,72.47042928,79.21742025
Participant10,High,65.9353801,74.36942575,NA
Participant11,Low,22.89518563,63.68926174,51.08541631
Participant12,High,75.33571797,71.84749864,NA
Participant13,Low,49.08351918,67.32647438,58.35004002
Participant14,High,50.00409829,56.84720367,NA
Participant15,High,NA,55.86001732,84.83043325
Participant16,High,41.2073537,78.7087363,76.67302579
Participant17,High,54.67376983,NA,82.04295524
Participant18,Low,48.95278308,55.86407301,71.39381807
Participant19,Low,NA,53.27521219,84.14603201
Participant20,High,64.85088382,72.89501553,115.3589179
Participant21,High,NA,50.41339589,94.34541888
Participant22,Low,42.46422769,61.52186645,59.37949816
Participant23,Low,69.72533924,65.9793799,68.40995005
Participant24,High,39.98597094,70.29532303,77.02885328
Participant25,Low,47.5533053,NA,NA
Participant26,High,NA,68.03378966,89.55462278
Participant27,Low,NA,52.62931647,72.3442151
Participant28,High,72.58183165,58.6586971,90.34817135
Participant29,High,74.14511876,82.68015035,NA
Participant30,Low,51.73620054,64.77571251,92.15563272
Participant31,High,57.69804149,NA,89.83726223
Participant32,Low,54.41141643,80.51757439,61.78377633
Participant33,High,74.25856095,53.50985629,76.91006213
Participant34,Low,74.50780608,62.49004817,56.90918515
Participant35,Low,68.60414298,70.27858974,61.16571193
Participant36,High,NA,61.96724174,91.32762129
Participant37,Low,NA,NA,68.38813161
Participant38,Low,43.80757097,30.06261123,60.44360852
Participant39,High,57.69999369,55.39528409,92.86807563
Participant40,Low,59.05363242,55.6360053,47.30868438
Participant41,Low,48.30374725,50.89436725,67.49869731
Participant42,Low,53.18820932,72.36329334,NA
Participant43,High,62.33824448,60.87589195,92.18832869
Participant44,Low,66.15975936,NA,67.49256461
Participant45,Low,47.28248679,NA,81.46387684
Participant46,Low,62.19928817,75.81432641,63.99243694
Participant47,Low,NA,61.4176746,70.53963883
Participant48,High,60.39902577,70.03703033,92.47388238
Participant49,High,43.40793821,NA,83.6542121
Participant50,High,66.0025933,53.53900478,102.8871206
