IDNO,SEXO,IMPIDEAS,CLASESUB
1,2,1,2
2,2,1,2
3,2,0,2
4,1,0,4
5,1,0,1
6,2,0,2
7,2,1,2
8,2,0,1
9,2,1,2
10,1,1,2
11,2,0,2
12,1,0,4
13,2,1,2
14,1,1,4
15,2,1,2
16,2,1,4
17,1,0,4
18,1,1,2
19,2,1,2
20,2,0,2
21,1,0,1
22,2,1,2
23,2,0,3
24,2,1,2
25,1,1,2
26,2,1,3
27,2,1,2
28,2,1,2
29,1,1,2
30,1,1,3
31,2,1,2
32,2,1,4
33,2,1,2
34,2,1,2
35,2,1,2
36,1,1,1
37,2,1,2
38,1,0,1
39,1,1,2
40,2,1,5
41,1,1,2
42,2,1,2
43,1,1,2
44,1,0,2
45,2,0,2
46,1,0,3
47,2,1,2
48,2,1,2
49,2,1,1
50,2,1,2
51,1,1,2
52,2,0,2
53,2,1,2
54,1,1,1
55,1,0,3
56,1,1,3
57,2,1,5
58,2,0,2
59,2,1,1
60,2,0,5
61,2,0,5
62,1,0,3
63,2,0,1
64,1,0,2
65,1,0,5
66,1,1,4
67,2,1,3
68,1,0,1
69,1,0,2
70,2,1,2
71,2,1,3
72,1,1,3
73,2,1,5
74,2,1,2
75,1,0,2
76,1,0,2
77,2,1,5
78,1,0,4
79,1,0,1
80,2,1,2
81,1,1,2
82,2,1,2
83,2,0,2
84,2,0,5
85,2,1,2
86,1,0,2
87,1,1,2
88,2,1,3
89,2,1,3
90,2,0,2
91,1,1,2
92,2,1,2
93,1,0,1
94,1,1,2
95,1,1,3
96,1,0,2
97,2,1,2
98,1,0,2
99,2,0,2
100,1,1,2
101,1,0,2
102,1,0,2
103,2,0,4
104,2,1,2
105,1,1,2
106,1,1,2
107,2,0,2
108,1,1,2
109,2,1,4
110,2,1,2
111,1,0,2
112,2,0,2
113,2,1,2
114,1,1,2
115,1,1,4
116,1,1,2
117,1,0,2
118,2,1,1
119,1,0,2
120,2,1,2
121,2,0,2
122,1,1,4
123,1,1,4
124,2,0,2
125,1,1,2
126,2,1,3
