idno;cntry;health;agea;c_gdppc_2021;gndr
27369;BE;1;24;51165,510222267;1
16689;BE;1;32;51165,510222267;1
16321;BE;1;38;51165,510222267;1
15169;BE;1;54;51165,510222267;1
14036;BE;1;61;51165,510222267;1
12341;BE;1;70;51165,510222267;1
26772;BE;1;75;51165,510222267;1
14380;BE;1;77;51165,510222267;1
14314;BE;2;18;51165,510222267;1
18687;BE;2;40;51165,510222267;1
18184;BE;2;44;51165,510222267;1
24553;BE;2;57;51165,510222267;1
10112;BE;2;64;51165,510222267;1
12362;BE;2;64;51165,510222267;1
26795;BE;2;71;51165,510222267;1
24567;BE;2;75;51165,510222267;1
18837;BE;2;79;51165,510222267;1
12546;BE;3;35;51165,510222267;1
24387;BE;3;73;51165,510222267;1
23387;BE;3;83;51165,510222267;1
16548;BE;1;24;51165,510222267;2
17877;BE;1;28;51165,510222267;2
19051;BE;1;54;51165,510222267;2
21152;BE;1;66;51165,510222267;2
18257;BE;2;22;51165,510222267;2
18852;BE;2;30;51165,510222267;2
21095;BE;2;32;51165,510222267;2
27303;BE;2;32;51165,510222267;2
19618;BE;2;34;51165,510222267;2
10398;BE;2;35;51165,510222267;2
24487;BE;2;35;51165,510222267;2
21333;BE;2;36;51165,510222267;2
25355;BE;2;49;51165,510222267;2
27367;BE;2;49;51165,510222267;2
15914;BE;2;54;51165,510222267;2
20274;BE;2;65;51165,510222267;2
14546;BE;2;78;51165,510222267;2
14148;BE;3;23;51165,510222267;2
23373;BE;3;29;51165,510222267;2
23943;BE;3;38;51165,510222267;2
15633;BE;3;72;51165,510222267;2
24138;BE;3;74;51165,510222267;2
18089;BE;5;81;51165,510222267;2
19285;BG;1;17;12207,2577149813;1
19984;BG;1;28;12207,2577149813;1
16931;BG;1;32;12207,2577149813;1
22375;BG;1;32;12207,2577149813;1
25687;BG;1;36;12207,2577149813;1
10601;BG;1;40;12207,2577149813;1
25765;BG;1;56;12207,2577149813;1
13632;BG;1;57;12207,2577149813;1
14267;BG;2;21;12207,2577149813;1
16579;BG;2;26;12207,2577149813;1
13272;BG;2;31;12207,2577149813;1
22432;BG;2;35;12207,2577149813;1
25744;BG;2;37;12207,2577149813;1
23085;BG;2;40;12207,2577149813;1
25782;BG;2;41;12207,2577149813;1
26588;BG;2;43;12207,2577149813;1
10187;BG;2;44;12207,2577149813;1
22637;BG;2;49;12207,2577149813;1
25033;BG;2;52;12207,2577149813;1
12939;BG;2;56;12207,2577149813;1
13950;BG;2;56;12207,2577149813;1
15946;BG;2;61;12207,2577149813;1
11928;BG;2;65;12207,2577149813;1
16488;BG;2;66;12207,2577149813;1
15612;BG;2;67;12207,2577149813;1
12517;BG;2;73;12207,2577149813;1
19252;BG;2;76;12207,2577149813;1
26174;BG;3;36;12207,2577149813;1
25214;BG;3;40;12207,2577149813;1
12846;BG;3;54;12207,2577149813;1
26837;BG;3;56;12207,2577149813;1
